PairNum	State	PlayerName	PreRtg	PostRtg	TotalPts	Round1	Round2	Round3	Round4	Round5	Round6	Round7
37	MI	AMIYATOSH PWNANANDAM	980	1077	3.5	B	L   5	W  34	L  27	H	L  23	W  61
38	MI	BRIAN LIU	1423	1439	3	D  11	W  35	W  29	L  12	H	L  18	L  15
39	MI	JOEL R HENDON	1436	1413	3	L   1	W  54	W  40	L  16	W  44	L  21	L  24
40	MI	FOREST ZHANG	1348	1346	3	W  20	L  26	L  39	W  59	L  21	W  56	L  22
41	MI	KYLE WILLIAM MURPHY	1403	1341	3	W  59	L  17	W  58	L  20	X	U	U
42	MI	JARED GE	1332	1256	3	L  12	L  50	L  57	D  60	D  61	W  64	W  56
43	MI	ROBERT GLEN VASEY	1283	1244	3	L  21	L  23	L  24	W  63	W  59	L  46	W  55
44	MI	JUSTIN D SCHILLING	1199	1199	3	B	L  14	L  32	W  53	L  39	L  24	W  59
45	MI	DEREK YAN	1242	1191	3	L   5	L  51	D  60	L  56	W  63	D  55	W  58
46	MI	JACOB ALEXANDER LAVALLEY	377	1076	3	W  35	L   7	L  27	L  50	W  64	W  43	L  23
47	MI	ERIC WRIGHT	1362	1341	2.5	L  18	W  24	L  21	W  61	L   8	D  51	L  25
48	MI	DANIEL KHAIN	1382	1335	2.5	L  17	W  63	H	D  52	H	L  29	L  35
49	MI	MICHAEL J MARTIN	1291	1259	2.5	L  26	L  20	D  63	D  64	W  58	H	U
50	MI	SHIVAM JHA	1056	1111	2.5	L  29	W  42	L  33	W  46	H	L  31	L  30
51	MI	TEJAS AYYAGARI	1011	1097	2.5	L  27	W  45	L  36	W  57	L  32	D  47	L  33
52	MI	ETHAN GUO	935	1092	2.5	W  30	D  22	L  19	D  48	L  29	D  35	L  34
53	MI	JOSE C YBARRA	1393	1359	2	H	L  25	H	L  44	U	W  57	U
54	MI	LARRY HODGE	1270	1200	2	L  14	L  39	L  61	B	L  15	L  59	W  64
55	MI	ALEX KONG	1186	1163	2	L  62	D  31	L  10	L  30	B	D  45	L  43
56	MI	MARISA RICCI	1153	1140	2	H	L  11	L  35	W  45	H	L  40	L  42
57	MI	MICHAEL LU	1092	1079	2	L   7	L  36	W  42	L  51	L  35	L  53	B
58	MI	VIRAJ MOHILE	917	941	2	W  31	L   2	L  41	L  23	L  49	B	L  45
59	MI	SEAN M MC CORMICK	853	878	2	L  41	B	L   9	L  40	L  43	W  54	L  44
60	MI	JULIA SHEN	967	984	1.5	L  33	L  34	D  45	D  42	L  24	H	U
61	ON	JEZZEL FARKAS	955	979	1.5	L  32	L   3	W  54	L  47	D  42	L  30	L  37
62	MI	ASHWIN BALAJI	1530	1535	1	W  55	U	U	U	U	U	U
63	MI	THOMAS JOSEPH HOSMER	1175	1125	1	L   2	L  48	D  49	L  43	L  45	H	U
64	MI	BEN LI	1163	1112	1	L  22	D  30	L  31	D  49	L  46	L  42	L  54
